rua,freq
"RUA DAS FRONTEIRAS, EM FRENTE AO N. 25",51
"RUA DAS FRONTEIRAS, EM FRENTE AO N. 35",55
"RUA DO SOL, EM FRENTE AO SEMAFORO N. 014 SENTIDO UNICO",135
"RUA DAS FRONTEIRAS, EM FRENTE AO N. 51",74
"RUA. DO PAISSANDU, EM FRENTE AO N. 300",42
"RUA JOSÉ BONIFÁCIO, EM FRENTE AO Nº 894",209
"AVENIDA CAXANGA, SOB O SEMAFORO N. 229 SENTIDO SUBURBIO",320
"RUA. DO PAISSANDU, EM FRENTE AO N. 176",17
Av. Herculano Bandeira defronte ao N. 434,20
"AVENIDA DANTAS BARRETO, LADO OPOSTO AO N. 935A",3
"AVENIDA CONDE DA BOA VISTA, EM FRENTE AO SHOPPINGBOA VISTA",0
"AVENIDA DANTAS BARRETO, LADO OPOSTO AO N. 965",16
"AVENIDA GOVERNADOR AGAMENON MAGALHAES, SOB O SEMAFORO N.379",0
"RUA SAO LUIZ, AO LADO AO N. 591",0
"RUA SAO LUIZ, EM FRENTE AO N. 591",8
"AVENIDA HERCULANO BANDEIRA, EM FRENTE CAIXA ECONOMICA",0
"AVENIDA ENGENHEIRO DOMINGOS FERREIRA, EM FRENTE AO N. 543",11
"AVENIDA ENGENHEIRO DOMINGOS FERREIRA, AO LADO AO N. 1761",0
"AVENIDA DOIS RIOS, SOB O SEMAFORO N. 475 SENTIDO AVENIDA RECIFE",11
"RUA SAO JOAO, EM FRENTE AO N. 523 CITY",0
"AVENIDA DOM HELDER CAMARA, CRUZAMENTO COM AVENIDARECIFE. SENTIDO CIDADE.",4
"C SANTA RITA, LADO OPOSTO 104",0
"AVENIDA DOIS RIOS, APOS O SEMAFORO N. 475 SENTIDOAVENIDA RECIFE",18
"RUA SAO JOAO, EM FRENTE AO N. 465",3
"RUA DR NYLO DORNELLAS CAMARA, EM FRENTE AO SEMAFORO N. 90",0
"RUA VIDAL DE NEGREIROS, AO LADO AO N.63",1
"RUA VIDAL DE NEGREIROS, EM FRENTE AO N. 40",9
"AVENIDA CONSELHEIRO AGUIAR, SOB O SEMAFORO N. 002",60
"AV. GOV. AGAMENON MAGALHÃES, PRÓXIMO AO SEMÁFORO 037, SENT. OLINDA",114
"PRACA DO DERBY, AO LADO AO N. 149",3
"RUA DR BARTOLOMEU ANACLETO, EM FRENTE AO N. 647",17
"RUA DR BARTOLOMEU ANACLETO, EM FRENTE AO N. 647A",0
"RUA DR BARTOLOMEU ANACLETO, AO LADO AO N. 617",16
"RUA VIDAL DE NEGREIROS, EM FRENTE AO N. 135",5
"AVENIDA CONSELHEIRO AGUIAR, AO LADO AO N. 3763",1
"AV. CAXANGÁ, APÓS O Nº 125, SENTIDO CENTRO",577
"RUA BARAO DE SOUZA LEAO, SOB O SEMAFORO N. 129",6
"RUA SENADOR CARLOS WILSON CAMPOS INFRAERO, LADO OPOSTO AO PORTAO DE DESEMBARQUE A5 AEROPORTO DO RECI",3
"AVENIDA HERCULANO BANDEIRA, EM FRENTE AO N. 97",1
"AVENIDA PREFEITO ANTONIO PEREIRA, AO LADO DO PORTAO DE EMBARQUE DO TIP",80
"RUA ANTONIO HENRIQUE, EM FRENTE AO N. 84",9
"AVENIDA CELSO FURTADO, POR TRAS DO ASSAI SUPERMERCADO",0
"RUA DO JAU, LADO OPOSTO AO N. 324",0
"AVENIDA PREFEITO ANTONIO PEREIRA, AO LADO O PORTAO DE EMBARQUE DO TIP",0
"RUA PEDRO AFONSO, EM FRENTE AO N. 498",0
"AVENIDA BRASILIA FORMOSA, LADO OPOSTO AO N. 29",0
"AVENIDA BRASILIA FORMOSA, EM FRENTE AO N. 18-A",5
"RUA DO ACRE, AO LADO DO.MERCADO PUBLICO DE AFOGADOS",0
"AVENIDA PREFEITO ANTONIO PEREIRA, AO LADO DO ESTACIONAMENTO DO TIP",7
"RUA JOSE DE ALENCAR, AO LADO AO N. 140",0
"AVENIDA ENGENHEIRO ANTONIO DE GOES, AO LADO AO N.541",0
"AVENIDA ENGENHEIRO ANTONIO DE GOES, AO LADO AO N.677",1
"RUA GENERAL ARTUR OSCAR, EM FRENTE AO N. 30",2
"AV. GOV. AGAMENON MAGALHÃES, ENTRE O Nº 906 E 990, SENT. BOA VIAGEM",495
"AVENIDA ENGENHEIRO DOMINGOS FERREIRA, AO LADO AO SEMAFORO N. 145",0
"RUA DR JOSE MARIA, EM FRENTE AO N. 517",5
"RUA DONA BENVINDA DE FARIAS, EM FRENTE POSTE DE ILUMINACAO PUBLICA N. H007221",0
"AVENIDA SUL, EM FRENTE AO SEMAFORO N. 311",2
"RUA DR JOSE MARIA, LADO OPOSTO AO N. 517",1
"RUA AVIADOR SEVERIANO LINS, AO LADO AO N. 123",0
"RUA JOAQUIM NABUCO, APOS AO SEMAFORO N. 174 SENTIDO SUBURBIO",5
"RUA DR JOSE MARIA, EM FRENTE AO N. 30",0
"RUA BARAO DE SOUZA LEAO, EM FRENTE BANCO DO BRASIL",0
"RUA BARAO DE SOUZA LEAO, AO LADO HOSPITAL BOA VIAGEM",0
"RUA AURORA CACOTE, EM FRENTE AO N. 523",1
"AVENIDA MANOEL BORBA, SOB O SEMAFORO N. 028",1
"RUA DO PEIXOTO, EM FRENTE AO N. 196",0
"RUA DES LULA CARDOSO AYRES ELEVADO NA INFRAERO, EM FRENTE AO B4",7
"PONTE RAIMUNDO LEITAO, EM FRENTE AO SEMAFORO N. 174 SENTIDO SUBURBIO",1
"C DA DETENCAO, LADO OPOSTO CASA DA CULTURA",4
"AVENIDA NORTE MIGUEL ARRAES DE ALENCAR, SOB O SEMAFORO N. 081",2
"AVENIDA NORTE MIGUEL ARRAES DE ALENCAR, SOB O SEMAFORO N. 677",9
"RUA PADRE LEMOS, EM FRENTE AO N. 94",27
"AVENIDA GOVERNADOR AGAMENON MAGALHAES, SOB O SEMAFORO N. 037 SENTIDO BOA VIAGEM",17
"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 062,Sentido:SUBURBIO Faixa: 1",95
"AV. MARECHAL MASCARENHAS DE MORAES, Nº 417, SENTIDO CENTRO",65
"AV. MARECHAL MASCARENHAS DE MORAES, Nº 2525, SENTIDO CENTRO",72
"PONTE GOVERNADOR PAULO GUERRA, SOBRE A PONTE ESTAIADA",3
"ESTRADA VELHA DE AGUA FRIA, SEMAFORO 306, Sentido:SUBURBIO Faixa: 3",51
"AVENIDA CRUZ CABUGA, EM FRENTE AO N. 211",1
"AVENIDA GOVERNADOR AGAMENON MAGALHAES, SOB O SEMAFORO N. 075 SENTIDO OLINDA",183
"RUA JOSE DE ALENCAR, EM FRENTE AO N. 44-B",2
"AVENIDA CAXANGA, SOB O SEMAFORO N.229 SENTIDO SUBURBIO",0
"PONTE DELMIRO GOUVEIA, SOB O SEMAFORO N. 075 SENTIDO SUBURBIO",19
"AV. MARECHAL MASCARENHAS DE MORAES, ENTRE OS Nº 2700 E 3000, SENTIDO SUBÚRBIO",27
"AVENIDA ENGENHEIRO JOSE ESTELITA, AO LADO DA PRACA ABELARDO RIJO",62
"AV. DR. JOSE RUFINO, SEMAFORO 044, Sentido:SUBURBIO Faixa: 3",155
